feature_index,feature_name,logistic_weight,rf_importance,shap_mean,logistic_rank,rf_rank,shap_rank
691,clip_dim_691,-0.1072408955804926,0.00044581057596929736,0.0,520,611,2
692,clip_dim_692,0.3614501531645332,0.003830891746959982,0.0,52,48,2
693,clip_dim_693,-0.07359285374327254,0.0006404243862878402,0.0,480,457,2
684,clip_dim_684,-0.020547043513483465,0.00027837442918696663,0.0,435,732,2
673,clip_dim_673,0.4432927823571953,0.001964591664254908,0.0,32,109,2
719,clip_dim_719,-0.42997144346617877,0.0004960838703840196,0.0,729,574,2
721,clip_dim_721,0.3458959727034122,0.0021871430401984547,0.0,55,95,2
746,clip_dim_746,0.014525356787344054,0.0006073693931975515,0.0,383,483,2
747,clip_dim_747,-0.14158792245424578,0.0005479545428497265,0.0,553,530,2
748,clip_dim_748,-0.0029185817818287536,0.0004129795748755986,0.0,409,639,2
749,clip_dim_749,0.09262897298277484,0.0005731664375429397,0.0,289,508,2
750,clip_dim_750,0.14728239109683877,0.00069083629672124,0.0,223,414,2
751,clip_dim_751,-0.5601529637354101,0.00181143494891265,0.0,746,119,2
752,clip_dim_752,-0.18193313739405462,0.0006627105254087107,0.0,601,438,2
753,clip_dim_753,0.11613271535298657,0.0006514358569560828,0.0,259,450,2
754,clip_dim_754,0.36015595556262303,0.001375766339102597,0.0,53,163,2
745,clip_dim_745,0.02032094776029375,0.0008422370869161119,0.0,376,324,2
755,clip_dim_755,-0.0731897963114764,0.0006185877658316451,0.0,479,474,2
757,clip_dim_757,0.22928597354229233,0.00034534977655930775,0.0,135,682,2
758,clip_dim_758,0.06235830367072632,0.0003909449517739263,0.0,323,652,2
759,clip_dim_759,-0.0067240513384401925,0.000683217904678009,0.0,417,425,2
760,clip_dim_760,0.023781967521597967,0.0002761802427642389,0.0,375,733,2
761,clip_dim_761,0.1797776236732226,0.0010536347298273497,0.0,183,243,2
762,clip_dim_762,-0.08493180722701137,0.0010018931057034102,0.0,492,262,2
763,clip_dim_763,0.11789149353989603,0.00047801307062816906,0.0,256,588,2
764,clip_dim_764,-0.10240417575548476,0.0006546222180757145,0.0,515,446,2
765,clip_dim_765,0.07535552969507071,0.0007597460970663855,0.0,306,362,2
756,clip_dim_756,0.21802815682983454,0.0008929651195411332,0.0,141,298,2
720,clip_dim_720,0.050459600226335825,0.0003532411701220524,0.0,335,674,2
744,clip_dim_744,-0.2145969126415928,0.0002794479283369026,0.0,629,729,2
742,clip_dim_742,-0.22376206439975646,0.0014055081385855098,0.0,641,159,2
722,clip_dim_722,0.12111723493926181,0.000752961922776341,0.0,249,367,2
723,clip_dim_723,-0.013790497076263937,0.00030256540138313547,0.0,425,716,2
724,clip_dim_724,-0.36265792269881186,0.0017369015768612067,0.0,711,126,2
725,clip_dim_725,-0.04484535831548426,0.00034318053644817804,0.0,458,687,2
726,clip_dim_726,0.17015169500470814,0.0007767829183742426,0.0,197,351,2
727,clip_dim_727,0.1614694963471886,0.00044609471655273464,0.0,209,610,2
728,clip_dim_728,-0.367193357993586,0.0032560295854127427,0.0,713,54,2
729,clip_dim_729,0.08037593339449534,0.0011833222734935194,0.0,301,200,2
730,clip_dim_730,0.10257550750662073,0.000611301718108462,0.0,278,481,2
743,clip_dim_743,-0.7825692429373212,0.013980051015126851,0.0,766,5,2
731,clip_dim_731,0.16007392188894592,0.0004650643683053758,0.0,211,596,2
733,clip_dim_733,0.003263457823390193,0.0006027386728925217,0.0,400,487,2
734,clip_dim_734,0.20745292696359546,0.0007347602267012497,0.0,155,384,2
735,clip_dim_735,-0.6963507008799977,0.0028507015994967484,0.0,763,66,2
736,clip_dim_736,0.0725298837068313,0.0003559610775268794,0.0,309,672,2
737,clip_dim_737,-0.19836842916447528,0.0007700658529986595,0.0,611,353,2
738,clip_dim_738,-0.0643327911303586,0.0007251559692711145,0.0,469,395,2
739,clip_dim_739,0.36954898426194777,0.001972383354999835,0.0,51,107,2
740,clip_dim_740,-0.10334690986931486,0.0008699218562645629,0.0,517,308,2
741,clip_dim_741,-0.14256141004814893,0.0006889194658429503,0.0,558,419,2
732,clip_dim_732,0.01744319431196098,0.00043950558625558187,0.0,379,616,2
385,clip_dim_385,-0.06759326575580432,0.0008853830159486565,0.0,474,301,2
672,clip_dim_672,0.17165929335274088,0.00037513003892641184,0.0,193,660,2
670,clip_dim_670,0.03892214293858426,0.00030136596219913775,0.0,356,719,2
602,clip_dim_602,0.12364983651853576,0.0003418560337106911,0.0,242,689,2
603,clip_dim_603,-0.279728582002226,0.0010468790118506556,0.0,672,249,2
